CommunicationID,ProviderID,ProviderContactType,ProviderPhoneNo,ProviderEmail
4a354327-9b82-4226-9fb6-fe71b3922511,3589f4a3-2fec-4c37-b606-ddc770d14e9d,Emergency,991-557-4156,melissa.b.dickerson@yahoo.com
5943d23d-0b01-40ac-81f9-a80522df54c2,d22e5365-14a7-4e53-ac4d-7568b981e7c8,Telephone,961-238-8709,amber.u.garza@hotmail.com
efe90539-9269-4897-88e8-d847adb43015,2b230c5b-98b0-466e-bfc4-8021733dc7b6,Emergency,664-925-6953,jennifer.s.kemp@gmail.com
bdfdad7f-0ef5-4b3b-9493-7f17e1e3d5d6,09ba1750-76ba-49fb-af27-adad14416c4c,Fax,564-569-9401,donna.p.barnes@gmail.com
48ade692-3a3b-4ec4-8f54-e00143419d46,cb03aa9e-bd6e-4fc3-91c6-d22915e58087,Emergency,667-914-8747,jennifer.w.ingram@gmail.com
0476078d-ecc2-41b4-af49-9c05582f869e,414e9a8e-66f5-4056-87c9-6cdbbad27dab,Mobile,677-622-8691,bobby.c.bell@yahoo.com
7b604af6-1f7b-4c5b-83bc-da09df621983,835d6d81-3269-4bd1-84ce-bbf02921be9e,Fax,724-488-4627,teresa.o.daniels@hotmail.com
2928e2ca-1ec0-485a-8f17-a24c94317135,42534d02-c3bb-4ce2-8123-1619951aa62b,Fax,844-594-4999,lance.x.cortez@yahoo.com
d8e90158-eb18-470a-ba37-a0e521cd5c8d,d901f083-5fc6-4d43-b8c7-4d017ae04fec,Emergency,843-290-2429,stephanie.t.mcgee@hotmail.com
b37ce4ac-440d-4c65-bca1-16dee0e80446,1e2832e5-7864-449a-8455-ca3777bed978,Mobile,807-155-7901,juan.k.payne@hotmail.com
1f821d8d-89b6-4c1f-923a-5c8a69079ce7,cdb48bcd-8e4c-4673-91dd-a7e5386341db,Mobile,615-888-2545,adam.n.moon@hotmail.com
3b09350a-1eb5-42be-b0f3-88d5cc48b8ad,807867a6-5b14-4843-8eef-6120b680266e,Fax,948-543-3756,allison.k.edwards@hotmail.com
1fa13f3e-3836-4f10-adfd-527ca2dc9073,9eb1a8fd-00ab-4a8f-abb8-335576ee7940,Emergency,382-792-6723,julie.w.richards@hotmail.com
5dd507a2-9443-4389-b47f-719124962621,4644701f-c79c-45d3-85e8-2ae2afcbe45c,Telephone,811-152-7168,rachel.b.miller@gmail.com
6eaea797-86a8-42cb-8416-42bdba4ff880,5e5c3106-986b-44be-97eb-9f46a5a489af,Fax,306-147-4772,angela.d.estrada@gmail.com
9fbe9a45-ee82-43a6-beb4-396dc74cabae,a5ef6619-235d-4bd6-bd71-0320f9068fce,Fax,782-903-1601,kevin.o.thornton@gmail.com
