ProviderID,ProviderFirstName,ProviderMiddleInitial,ProviderLastName,ProviderNameSuffix,providerimage,ProviderType,ProviderGender,ProviderRaceEthnicity,ProviderDOB,ProviderAge,ProviderNPI
3589f4a3-2fec-4c37-b606-ddc770d14e9d,Melissa,B,Dickerson,II,https://images.pexels.com/photos/5327656/pexels-photo-5327656.jpeg?auto=compress&cs=tinysrgb&w=400,Surgeon,Female,Asian,1963-11-05,61,5593580485
d22e5365-14a7-4e53-ac4d-7568b981e7c8,Amber,U,Garza,,https://www.future-doctor.de/wp-content/uploads/2024/04/approbation-medizinstudium-ausland.jpg.webp,Physician,Female,Other,1962-10-09,62,1385921459
2b230c5b-98b0-466e-bfc4-8021733dc7b6,Jennifer,S,Kemp,II,https://www.future-doctor.de/wp-content/uploads/2024/11/shutterstock_2173377961-1000x667.jpg,Therapist,Female,Asian,1988-12-21,36,7740927894
09ba1750-76ba-49fb-af27-adad14416c4c,Donna,P,Barnes,Sr.,https://www.future-doctor.de/wp-content/uploads/2024/03/medizinstudium_im_Ausland_auf_Deutsch.jpg.webp,Physician,Female,Other,1984-10-31,40,9921788187
cb03aa9e-bd6e-4fc3-91c6-d22915e58087,Jennifer,W,Ingram,II,https://www.future-doctor.de/wp-content/uploads/2024/10/shutterstock_1029028159.jpg.webp,Physician,Female,Asian,1993-11-27,31,2994956452
414e9a8e-66f5-4056-87c9-6cdbbad27dab,Bobby,C,Bell,,https://images.pexels.com/photos/5452268/pexels-photo-5452268.jpeg?auto=compress&cs=tinysrgb&w=400,Surgeon,Male,Asian,1957-02-28,68,1377264748
835d6d81-3269-4bd1-84ce-bbf02921be9e,Teresa,O,Daniels,Sr.,https://www.future-doctor.de/wp-content/uploads/2024/11/shutterstock_2173377961-1000x667.jpg,Therapist,Female,Other,1963-01-14,62,3281878940
42534d02-c3bb-4ce2-8123-1619951aa62b,Lance,X,Cortez,Sr.,https://www.future-doctor.de/wp-content/uploads/2024/08/shutterstock_2480850611.jpg.webp,Physician,Male,Native American,1963-04-11,62,6530329349
d901f083-5fc6-4d43-b8c7-4d017ae04fec,Stephanie,T,Mcgee,II,https://www.future-doctor.de/wp-content/uploads/2024/03/medizinstudium_im_Ausland_auf_Deutsch.jpg.webp,Physician,Female,Native American,1984-04-09,41,4342936796
1e2832e5-7864-449a-8455-ca3777bed978,Juan,K,Payne,Jr.,https://images.pexels.com/photos/5452293/pexels-photo-5452293.jpeg?auto=compress&cs=tinysrgb&w=400,Nurse Practitioner,Male,Other,1981-07-22,43,7929412372
cdb48bcd-8e4c-4673-91dd-a7e5386341db,Adam,N,Moon,III,https://images.pexels.com/photos/5215024/pexels-photo-5215024.jpeg?auto=compress&cs=tinysrgb&w=400,Therapist,Male,Black or African American,1995-06-13,30,9990332500
807867a6-5b14-4843-8eef-6120b680266e,Allison,K,Edwards,Jr.,https://images.pexels.com/photos/5452293/pexels-photo-5452293.jpeg?auto=compress&cs=tinysrgb&w=400,Nurse Practitioner,Female,Hispanic or Latino,1995-04-26,30,8993981161
9eb1a8fd-00ab-4a8f-abb8-335576ee7940,Julie,W,Richards,III,https://www.future-doctor.de/wp-content/uploads/2024/10/shutterstock_1029028159.jpg.webp,Therapist,Female,Asian,1970-08-29,54,8528981529
4644701f-c79c-45d3-85e8-2ae2afcbe45c,Rachel,B,Miller,Sr.,https://images.pexels.com/photos/5327656/pexels-photo-5327656.jpeg?auto=compress&cs=tinysrgb&w=400,Therapist,Female,Hispanic or Latino,1994-01-21,31,1602232166
